Time,Voltage
14.0381,-0.0623261
14.0391,0.0818651
14.04,0.155147
14.041,0.135503
14.042,0.0115682
14.043,-0.139956
14.0439,-0.241191
14.0449,-0.145366
14.0459,0.141494
14.0469,0.251631
14.0479,0.0893024
14.0488,0.0191508
14.0498,0.107681
14.0508,0.128191
14.0518,0.159655
14.0527,0.213038
14.0537,0.116958
14.0547,0.0225447
14.0557,-0.00094908
14.0566,0.0353386
14.0576,-0.0439813
14.0586,-0.452954
14.0596,-0.322077
14.0605,0.396627
14.0615,0.515998
14.0625,0.346028
14.0635,0.306206
14.0645,0.0327866
14.0654,-0.234943
14.0664,-0.340757
14.0674,-0.396755
14.0684,-0.438997
14.0693,-0.577108
14.0703,-0.705615
14.0713,-0.614553
14.0723,-0.456078
14.0732,-0.454786
14.0742,-0.464365
14.0752,-0.21607
14.0762,0.428123
14.0771,1.13841
14.0781,1.21788
14.0791,0.749218
14.0801,0.457965
14.0811,0.396735
14.082,0.164903
14.083,-0.222872
14.084,-0.458612
14.085,-0.44321
14.0859,-0.35178
14.0869,-0.274616
14.0879,-0.195258
14.0889,-0.11522
14.0898,0.0101066
14.0908,0.100651
14.0918,0.0863129
14.0928,0.0645775
14.0938,0.0153215
14.0947,-0.02843
14.0957,0.0513725
14.0967,0.141921
14.0977,0.227656
14.0986,0.379002
14.0996,0.372435
14.1006,0.134937
14.1016,-0.110845
14.1025,-0.266876
14.1035,-0.2835
14.1045,-0.227559
14.1055,-0.389466
14.1064,-0.759575
14.1074,-0.840301
14.1084,-0.419748
14.1094,-0.00188285
14.1104,0.171508
14.1113,0.329065
14.1123,0.21628
14.1133,-0.315672
14.1143,-0.592963
14.1152,-0.56733
14.1162,-0.777852
14.1172,-0.403815
14.1182,0.427467
14.1191,0.110594
14.1201,-0.471624
14.1211,-0.275205
14.1221,-0.17319
14.123,-0.176768
14.124,0.0550259
14.125,0.266865
14.126,0.209212
14.127,-0.0883712
14.1279,-0.149232
14.1289,0.231148
14.1299,0.549536
14.1309,0.397512
14.1318,0.0393111
14.1328,-0.154322
14.1338,-0.27531
14.1348,-0.459652
14.1357,-0.53823
14.1367,-0.480945
14.1377,-0.343739
14.1387,0.0652791
14.1396,0.600997
14.1406,0.869289
14.1416,1.04498
14.1426,1.29572
14.1436,1.13968
14.1445,0.383583
14.1455,-0.369762
